,Pickup_longitude,Pickup_latitude,size,label
0,-73.9816295522,40.5766472973,1917.0,0.0
1,-73.9540022454,40.587366845,14922.0,1.0
2,-73.9661472646,40.5855393721,597.0,2.0
3,-73.9295213873,40.5863591541,264.0,3.0
4,-73.9579839392,40.6088770376,3090.0,0.0
5,-73.9206710229,40.6109110759,468.0,0.0
6,-74.0285382727,40.6228550312,2322.0,0.0
7,-74.0262283575,40.621513867,183.0,1.0
8,-74.0234021998,40.6348387305,201.0,0.0
9,-73.9687108289,40.6392910849,447.0,0.0
10,-73.954068025,40.6389810244,864.0,1.0
11,-73.9985015664,40.6392049341,447.0,2.0
12,-73.9586377462,40.6374256558,270.0,3.0
13,-73.95783819,40.633274177,348.0,4.0
14,-73.9472113161,40.6323596176,4131.0,0.0
15,-73.9349378586,40.6348975182,240.0,1.0
16,-73.9424771761,40.6382970308,285.0,2.0
17,-73.9397536058,40.6310430673,156.0,3.0
18,-73.9493263033,40.6344410578,216.0,4.0
19,-74.0177866302,40.6414178884,483.0,0.0
20,-74.0093946977,40.6494581743,165.0,1.0
21,-73.9580079307,40.6458160575,4068.0,0.0
22,-73.9634043786,40.6493553654,372.0,1.0
23,-73.970759414,40.6464014053,516.0,2.0
24,-73.9700629406,40.6438171191,234.0,3.0
25,-73.9557851306,40.6405876205,507.0,4.0
26,-73.9793415386,40.6428280193,543.0,5.0
27,-73.9713751899,40.6482374827,270.0,6.0
28,-73.9462893168,40.647358195,180.0,0.0
29,-73.9489905806,40.6453227032,771.0,1.0
30,-73.948485715,40.6406754766,336.0,2.0
31,-74.0042921163,40.6544550783,3540.0,0.0
32,-74.0087905802,40.655391488,558.0,1.0
33,-74.0038278753,40.6513361151,165.0,2.0
34,-73.9502335919,40.6565766732,864.0,0.0
35,-73.9597989504,40.6554147076,10695.0,1.0
36,-73.9987880428,40.6596370325,246.0,2.0
37,-73.9736217923,40.6559226425,162.0,3.0
38,-73.9530058641,40.6555445744,351.0,4.0
39,-73.9558747704,40.6505586425,201.0,5.0
40,-73.9618317977,40.6549113545,621.0,6.0
41,-73.9562001228,40.6551193714,240.0,7.0
42,-73.9524321783,40.6509879703,315.0,8.0
43,-73.9614042394,40.6522346945,255.0,9.0
44,-73.9818819073,40.6587874184,213.0,10.0
45,-73.952894564,40.6540528757,162.0,11.0
46,-73.9526838645,40.6526056436,234.0,12.0
47,-73.9608654785,40.6502017212,225.0,13.0
48,-73.9626259149,40.659258936,306.0,14.0
49,-73.9726591463,40.6524008292,324.0,15.0
50,-73.9878786321,40.6597514236,171.0,16.0
51,-73.9504783337,40.6591532047,156.0,17.0
52,-73.9470521079,40.6556447347,216.0,0.0
53,-73.9252281189,40.6598050799,210.0,1.0
54,-73.9495401122,40.6507467253,987.0,2.0
55,-73.9436117033,40.6558817732,369.0,3.0
56,-73.9497214263,40.6527905734,159.0,4.0
57,-73.9498377671,40.6541324662,243.0,5.0
58,-73.9401563803,40.6523409287,288.0,6.0
59,-73.9145150757,40.6585604095,150.0,7.0
60,-73.8702921992,40.6520772519,345.0,0.0
61,-73.9610777144,40.661752806,5061.0,0.0
62,-73.9814841512,40.6669795733,24882.0,1.0
63,-73.987925557,40.6669793313,19215.0,2.0
64,-73.9507826995,40.6656176904,4194.0,3.0
65,-73.9584976668,40.6693767272,582.0,4.0
66,-73.9798388801,40.660962214,2907.0,5.0
67,-73.9566399601,40.6660771473,3594.0,6.0
68,-73.9930979462,40.6653701917,5955.0,7.0
69,-73.9618049741,40.6679497264,1146.0,8.0
70,-73.9597094757,40.667289888,297.0,9.0
71,-73.9627573298,40.6606496175,261.0,10.0
72,-73.9533691406,40.6695515876,306.0,11.0
73,-73.9537620308,40.6648298939,966.0,12.0
74,-73.9793518599,40.6656767499,687.0,13.0
75,-73.9765234205,40.6691322327,270.0,14.0
76,-73.9829515999,40.6691976477,243.0,15.0
77,-73.9728958732,40.6694499568,228.0,16.0
78,-73.9525546512,40.6600469125,222.0,17.0
79,-73.9820327357,40.6621805091,570.0,18.0
80,-73.9933480252,40.6686647394,267.0,19.0
81,-73.9534186339,40.6681349828,234.0,20.0
82,-73.9806215498,40.664094819,216.0,21.0
83,-73.9784276145,40.6629293306,168.0,22.0
84,-73.977575531,40.6666596222,150.0,23.0
85,-73.9316942113,40.6637981799,507.0,0.0
86,-73.9311724918,40.6686667859,852.0,1.0
87,-73.9108723164,40.6696573257,480.0,2.0
88,-73.9422622537,40.669514782,318.0,3.0
89,-73.9230337762,40.664885137,231.0,4.0
90,-73.9089048361,40.6626228622,237.0,5.0
91,-73.9479399142,40.6694215692,276.0,6.0
92,-73.89741815,40.6631098875,291.0,0.0
93,-73.8940766004,40.6647781839,294.0,1.0
94,-73.8924631579,40.6625310964,174.0,2.0
95,-74.0048491955,40.6738362908,192.0,0.0
96,-74.0005257104,40.6772357356,2487.0,1.0
97,-74.0141550158,40.6763802895,2253.0,2.0
98,-74.0108045632,40.6791196917,1161.0,3.0
99,-74.0104962819,40.6720433842,2853.0,4.0
100,-74.0169399946,40.675748874,351.0,5.0
101,-73.9617432618,40.6755498318,18084.0,0.0
102,-73.9743887521,40.6753652526,37959.0,1.0
103,-73.9814143929,40.6752325522,35244.0,2.0
104,-73.9956119815,40.6790123167,3792.0,3.0
105,-73.9570579566,40.6732649469,18300.0,4.0
106,-73.9976131661,40.6747946611,2688.0,5.0
107,-73.9848765965,40.6758044936,21669.0,6.0
108,-73.9503481372,40.6730829952,4446.0,7.0
109,-73.9983604713,40.6772726274,6423.0,8.0
110,-73.9621792603,40.6775581614,450.0,9.0
111,-73.9530380762,40.6752180886,8475.0,10.0
112,-73.9907510475,40.6725746245,3057.0,11.0
113,-73.9612772624,40.6779968897,180.0,12.0
114,-73.9732619951,40.673023958,795.0,13.0
115,-73.9597621918,40.6711566544,300.0,14.0
116,-73.968053586,40.6753609203,321.0,15.0
117,-73.9996113088,40.6792477674,1515.0,16.0
118,-73.9670161353,40.6737344597,2091.0,17.0
119,-73.9709665099,40.6771582988,201.0,18.0
120,-73.9884772085,40.675207965,2055.0,19.0
121,-73.9837168818,40.6792987741,276.0,20.0
122,-73.9809887626,40.6715532939,396.0,21.0
123,-73.9709107865,40.6726698232,645.0,22.0
124,-73.989390237,40.6797574724,420.0,23.0
125,-73.9746370919,40.6711400672,237.0,24.0
126,-73.9753507289,40.6703628912,123.0,25.0
127,-73.9791005453,40.6740146505,261.0,26.0
128,-73.9919897318,40.6770653725,192.0,27.0
129,-73.9901588958,40.6787305665,309.0,28.0
130,-73.9931522838,40.6725549531,171.0,29.0
131,-73.9801511944,40.6729756481,159.0,30.0
132,-73.9946172541,40.6732297724,165.0,31.0
133,-73.97584162,40.6717845232,117.0,32.0
134,-73.9671560669,40.6763710785,150.0,33.0
135,-73.9937559616,40.6778985844,129.0,34.0
136,-73.9545873006,40.6756286621,144.0,35.0
137,-73.9352155879,40.6796183027,17874.0,0.0
138,-73.9450153265,40.679270142,1596.0,1.0
139,-73.9492605261,40.6771983814,6597.0,2.0
140,-73.903447074,40.6781546762,1371.0,3.0
141,-73.9230394039,40.678957856,3267.0,4.0
142,-73.9368985702,40.6709947847,549.0,5.0
143,-73.933962822,40.6760388613,192.0,6.0
144,-73.9109933283,40.67830518,924.0,7.0
145,-73.9390163858,40.6746772155,786.0,8.0
146,-73.9165219061,40.6786396917,501.0,9.0
147,-73.9276995694,40.6752904071,411.0,10.0
148,-73.9398533748,40.6721014086,273.0,11.0
149,-73.9137007558,40.6784683619,702.0,12.0
150,-73.9415859556,40.6760262121,1407.0,13.0
151,-73.9283018345,40.6705223642,246.0,14.0
152,-73.9218670102,40.6763892286,381.0,15.0
153,-73.9192429163,40.6787816098,399.0,16.0
154,-73.9419381113,40.6716377374,990.0,17.0
155,-73.9337581406,40.6707998749,351.0,18.0
156,-73.930851331,40.6710290577,1380.0,19.0
157,-73.9469648849,40.6780375104,387.0,20.0
158,-73.9303504944,40.6771207289,330.0,21.0
159,-73.9444713329,40.6752335685,651.0,22.0
160,-73.9475052736,40.671552355,321.0,23.0
161,-73.9438739721,40.6773364302,207.0,24.0
162,-73.9395032995,40.6711140352,255.0,25.0
163,-73.9305000305,40.675209403,192.0,26.0
164,-73.9109375898,40.6763313293,255.0,27.0
165,-73.9255748987,40.6703426242,192.0,28.0
166,-73.9156830399,40.6742577729,162.0,29.0
167,-73.9112633599,40.6720840817,189.0,30.0
168,-73.930644989,40.6735903112,246.0,31.0
169,-73.9358305359,40.6776115417,150.0,32.0
170,-73.8719216318,40.6751896172,2226.0,0.0
171,-73.897019031,40.675848643,153.0,1.0
172,-73.8334593194,40.6732861439,1284.0,0.0
173,-74.0006530762,40.6891755538,165.0,0.0
174,-74.0004614061,40.6818966281,465.0,1.0
175,-74.0011038818,40.687556076,750.0,2.0
176,-74.0020100482,40.6849298168,1848.0,3.0
177,-74.0044047356,40.6832690716,240.0,4.0
178,-74.0002365112,40.686267277,159.0,5.0
179,-74.0146237295,40.6818843807,327.0,6.0
180,-73.9786194066,40.6854765499,383397.0,0.0
181,-73.9509184623,40.686998921,7761.0,1.0
182,-73.9882566841,40.6859676701,573.0,2.0
183,-73.9982631955,40.6877221427,2571.0,3.0
184,-73.9993552765,40.6840654956,1443.0,4.0
185,-73.9813551469,40.6823768616,132.0,5.0
186,-73.9627712662,40.687656602,1722.0,6.0
187,-73.9522844281,40.6875442371,171.0,7.0
188,-73.983863218,40.6804368235,411.0,8.0
189,-73.9838782416,40.6849368531,243.0,9.0
190,-73.9708348443,40.6827736742,408.0,10.0
191,-73.9523264014,40.6853121882,276.0,11.0
192,-73.962090118,40.6846651005,237.0,12.0
193,-73.9631147385,40.6849141717,192.0,13.0
194,-73.9530042883,40.6882090634,219.0,14.0
195,-73.9845086506,40.6844215393,168.0,15.0
196,-73.9568441291,40.6805015698,171.0,16.0
197,-73.9703158867,40.6862536174,123.0,17.0
198,-73.9472242571,40.6804443002,24054.0,0.0
199,-73.9293425652,40.6836971277,2073.0,1.0
200,-73.9222245587,40.6895401315,657.0,2.0
201,-73.9302361758,40.6886545138,393.0,3.0
202,-73.9330373151,40.688297442,672.0,4.0
203,-73.9115448718,40.683544051,318.0,5.0
204,-73.9157687693,40.6859172943,843.0,6.0
205,-73.9358275519,40.6867335849,270.0,7.0
206,-73.9390074308,40.6874496741,732.0,8.0
207,-73.9361672206,40.6881052876,513.0,9.0
208,-73.9417971169,40.6873129868,492.0,10.0
209,-73.9353979515,40.684307042,1218.0,11.0
210,-73.9406486553,40.6844666696,2214.0,12.0
211,-73.9072728971,40.6833488185,246.0,13.0
212,-73.9374495286,40.6877523569,195.0,14.0
213,-73.9446179481,40.6870394872,1074.0,15.0
214,-73.9211363152,40.6806519352,201.0,16.0
215,-73.9383741822,40.684413014,1188.0,17.0
216,-73.9262943129,40.6853000892,411.0,18.0
217,-73.9439598703,40.6834770031,1737.0,19.0
218,-73.934774797,40.6816664476,273.0,20.0
219,-73.94773672,40.6878451297,285.0,21.0
220,-73.9239592119,40.6890546972,330.0,22.0
221,-73.9474934169,40.6866718474,252.0,23.0
222,-73.9490562573,40.6849054705,171.0,24.0
223,-73.9322710794,40.6838695587,189.0,25.0
224,-73.9472397566,40.685444057,192.0,26.0
225,-73.9345535771,40.6806648008,93.0,27.0
226,-73.8425995753,40.680557251,156.0,0.0
227,-73.9836212683,40.6932350915,240165.0,0.0
228,-73.9570431971,40.6990643491,1092.0,1.0
229,-73.9677679398,40.6958215882,2040.0,2.0
230,-73.9994157497,40.6933532133,1731.0,3.0
231,-73.9589135306,40.6989797475,294.0,4.0
232,-73.9637051796,40.692173588,294.0,5.0
233,-73.9772526134,40.6965486353,264.0,6.0
234,-73.9547577691,40.6924311844,291.0,7.0
235,-73.9647771835,40.6972123782,360.0,8.0
236,-73.9714333894,40.6976697328,732.0,9.0
237,-73.9982087272,40.694451877,252.0,10.0
238,-73.9805355956,40.6995296352,453.0,11.0
239,-73.980416139,40.6961580118,288.0,12.0
240,-73.9533985627,40.6991858262,585.0,13.0
241,-73.9735079379,40.6956940934,555.0,14.0
242,-73.9678534677,40.6978163857,729.0,15.0
243,-73.9565516177,40.6967832152,651.0,16.0
244,-73.980489124,40.6981169094,264.0,17.0
245,-73.9829688894,40.6997147593,348.0,18.0
246,-73.9746458212,40.6980286859,471.0,19.0
